,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
232,SAS,Away,CHI,01/27/2020,L,240,109,38,82,46.3,10,25,40.0,23,34,67.6,12,35,47,21,2,6,12,12,-1
233,CHI,Home,SAS,01/27/2020,W,240,110,42,93,45.2,14,37,37.8,12,15,80.0,14,36,50,28,8,2,12,23,1
234,NOP,Home,BOS,01/26/2020,W,240,123,44,92,47.8,16,36,44.4,19,29,65.5,18,36,54,31,7,5,20,21,15
235,BOS,Away,NOP,01/26/2020,L,240,108,41,89,46.1,8,33,24.2,18,22,81.8,7,30,37,21,6,5,17,29,-15
236,MEM,Home,PHX,01/26/2020,W,240,114,44,84,52.4,8,19,42.1,18,26,69.2,8,38,46,25,10,8,26,27,5
237,PHX,Away,MEM,01/26/2020,L,240,109,35,92,38.0,11,29,37.9,28,35,80.0,12,30,42,23,14,7,18,27,-5
238,HOU,Away,DEN,01/26/2020,L,240,110,40,88,45.5,11,33,33.3,19,27,70.4,15,29,44,19,6,7,18,21,-7
239,DEN,Home,HOU,01/26/2020,W,240,117,44,93,47.3,11,28,39.3,18,20,90.0,11,31,42,28,10,3,15,23,7
240,WAS,Away,ATL,01/26/2020,L,240,133,42,88,47.7,11,33,33.3,38,42,90.5,8,26,34,20,5,7,12,26,-19
241,ATL,Home,WAS,01/26/2020,W,240,152,54,93,58.1,15,35,42.9,29,34,85.3,12,36,48,30,7,3,15,35,19
242,POR,Home,IND,01/26/2020,W,240,139,49,90,54.4,20,35,57.1,21,25,84.0,12,31,43,27,1,7,17,21,10
243,IND,Away,POR,01/26/2020,L,240,129,48,93,51.6,13,28,46.4,20,21,95.2,6,25,31,31,5,2,7,19,-10
244,ORL,Home,LAC,01/26/2020,L,240,97,34,95,35.8,7,32,21.9,22,32,68.8,16,28,44,27,9,7,7,23,-15
245,LAC,Away,ORL,01/26/2020,W,240,112,37,79,46.8,13,30,43.3,25,29,86.2,12,41,53,20,2,7,18,26,15
246,NYK,Home,BKN,01/26/2020,W,240,110,49,92,53.3,6,19,31.6,6,13,46.2,14,34,48,19,7,8,15,23,13
247,BKN,Away,NYK,01/26/2020,L,240,97,34,81,42.0,13,39,33.3,16,23,69.6,7,27,34,21,6,4,16,14,-13
248,TOR,Away,SAS,01/26/2020,W,240,110,41,99,41.4,16,50,32.0,12,15,80.0,14,36,50,31,11,2,9,22,4
249,SAS,Home,TOR,01/26/2020,L,240,106,34,82,41.5,16,37,43.2,22,24,91.7,7,41,48,27,5,8,17,15,-4
250,OKC,Away,MIN,01/25/2020,W,240,113,39,80,48.8,11,24,45.8,24,25,96.0,3,40,43,20,8,9,14,14,9
251,MIN,Home,OKC,01/25/2020,L,240,104,40,90,44.4,12,43,27.9,12,18,66.7,7,34,41,33,9,4,13,21,-9
252,UTA,Home,DAL,01/25/2020,W,240,112,40,91,44.0,15,43,34.9,17,22,77.3,12,42,54,22,5,6,13,21,5
253,DAL,Away,UTA,01/25/2020,L,240,107,42,97,43.3,16,41,39.0,7,13,53.8,10,34,44,19,6,3,9,24,-5
254,DET,Home,BKN,01/25/2020,L,265,111,43,104,41.3,13,35,37.1,12,18,66.7,14,38,52,20,5,3,8,25,-10
255,BKN,Away,DET,01/25/2020,W,265,121,42,94,44.7,15,42,35.7,22,25,88.0,11,44,55,19,3,5,11,17,10
256,CHI,Away,CLE,01/25/2020,W,240,118,44,85,51.8,12,33,36.4,18,24,75.0,7,29,36,24,15,2,11,16,12
257,CLE,Home,CHI,01/25/2020,L,240,106,42,84,50.0,13,30,43.3,9,11,81.8,11,32,43,30,5,1,21,20,-12
258,PHI,Home,LAL,01/25/2020,W,240,108,41,78,52.6,13,37,35.1,13,19,68.4,8,33,41,19,12,3,23,18,17
259,LAL,Away,PHI,01/25/2020,L,240,91,35,76,46.1,6,31,19.4,15,23,65.2,6,29,35,23,12,1,22,18,-17
260,DEN,Away,NOP,01/24/2020,W,240,113,40,106,37.7,13,41,31.7,20,20,100,24,32,56,26,14,6,15,19,7
261,NOP,Home,DEN,01/24/2020,L,240,106,38,82,46.3,12,27,44.4,18,30,60.0,12,33,45,24,8,7,17,17,-7
262,OKC,Home,ATL,01/24/2020,W,240,140,50,86,58.1,14,25,56.0,26,34,76.5,6,39,45,28,6,5,14,20,29
263,ATL,Away,OKC,01/24/2020,L,240,111,42,92,45.7,11,36,30.6,16,20,80.0,10,27,37,24,6,7,11,27,-29
264,CHA,Home,MIL,01/24/2020,L,240,103,32,86,37.2,14,39,35.9,25,30,83.3,8,31,39,24,6,3,13,22,-13
