,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
11,JaMychal Green,DEFENSIVE_REBOUND,None,10:44,2,Clippers,Grizzlies,19 - 30,1,N/A,N/A,N/A
12,Bruno Caboclo,FOUL_ON_FLOOR,None,10:42,2,Grizzlies,Clippers,19 - 30,0,N/A,N/A,N/A
13,Montrezl Harrell,FT,None,10:42,2,Clippers,Grizzlies,19 - 31,1,N/A,1,N/A
14,Justin Holiday,SUBSTITUTION,Caboclo Bruno,10:42,2,Grizzlies,Clippers,19 - 31,0,N/A,N/A,N/A
15,Montrezl Harrell,FT_MISS,None,10:42,2,Clippers,Grizzlies,19 - 31,1,N/A,1,N/A
16,Jonas Valanciunas,DEFENSIVE_REBOUND,None,10:40,2,Grizzlies,Clippers,19 - 31,0,N/A,N/A,N/A
17,Jonas Valanciunas,TURNOVER,Lou Williams,10:26,2,Grizzlies,Clippers,19 - 31,0,N/A,N/A,N/A
18,JaMychal Green,FG_ASSISTED,Lou Williams,10:23,2,Clippers,Grizzlies,19 - 33,1,0,2,Dunk
19,Team,Unknown,None,10:23,2,Grizzlies,Clippers,19 - 33,0,N/A,N/A,N/A
20,Delon Wright,SUBSTITUTION,Carter Jevon,10:23,2,Grizzlies,Clippers,19 - 33,0,N/A,N/A,N/A
21,Delon Wright's,FG_MISS,Garrett Temple,10:01,2,Clippers,Grizzlies,19 - 33,0,0,2,Layup
22,Team,OFFENSIVE_REBOUND,None,10:01,2,Grizzlies,Clippers,19 - 33,0,N/A,N/A,N/A
23,Delon Wright,FG_MISS,None,9:59,2,Grizzlies,Clippers,19 - 33,0,26,3,Jumper
24,JaMychal Green,DEFENSIVE_REBOUND,None,9:56,2,Clippers,Grizzlies,19 - 33,1,N/A,N/A,N/A
25,Lou Williams,TURNOVER,Delon Wright,9:50,2,Clippers,Grizzlies,19 - 33,1,N/A,N/A,N/A
26,Tyler Dorsey,FG_ASSISTED,Chandler Parsons,9:41,2,Grizzlies,Clippers,22 - 33,0,27,3,Jumper
27,Chandler Parsons,FOUL_ON_FLOOR,None,9:26,2,Grizzlies,Clippers,22 - 33,0,N/A,N/A,N/A
28,JaMychal Green,FG_ASSISTED,Lou Williams,9:21,2,Clippers,Grizzlies,22 - 36,1,23,3,Jumper
29,Delon Wright,FG_ASSISTED,Tyler Dorsey,9:07,2,Grizzlies,Clippers,25 - 36,0,22,3,Jumper
30,Lou Williams,FG_UNASSISTED,None,8:58,2,Clippers,Grizzlies,25 - 38,1,5,3,Jumper
31,Justin Holiday,FG_MISS,None,8:45,2,Grizzlies,Clippers,25 - 38,0, ,3,Jumper
32,Garrett Temple,DEFENSIVE_REBOUND,None,8:40,2,Clippers,Grizzlies,25 - 38,1,N/A,N/A,N/A
33,Garrett Temple,FG_MISS,None,8:36,2,Clippers,Grizzlies,25 - 38,1,6,3,Jumper
34,Chandler Parsons,DEFENSIVE_REBOUND,None,8:34,2,Grizzlies,Clippers,25 - 38,0,N/A,N/A,N/A
35,Chandler Parsons,TURNOVER,Garrett Temple,8:30,2,Grizzlies,Clippers,25 - 38,0,N/A,N/A,N/A
36,Jonas Valanciunas,Unknown,None,8:30,2,Grizzlies,Clippers,25 - 38,0,N/A,N/A,N/A
37,Montrezl Harrell,FG_UNASSISTED,None,8:14,2,Clippers,Grizzlies,25 - 40,1,0,2,Layup
38,Jonas Valanciunas,FOUL_ON_FLOOR,None,8:14,2,Grizzlies,Clippers,25 - 40,0,N/A,N/A,N/A
39,Montrezl Harrell,FT,None,8:14,2,Clippers,Grizzlies,25 - 41,1,N/A,1,N/A
40,Montrezl Harrell,FOUL_ON_FLOOR,None,7:58,2,Clippers,Grizzlies,25 - 41,1,N/A,N/A,N/A
