,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Robin Lopez,JUMP_BALL,None,12:00,1,Bulls,Heat,0 - 0,0,N/A,N/A,N/A
1,Robin Lopez,TURNOVER,Wayne Ellington,11:44,1,Bulls,Heat,0 - 0,0,N/A,N/A,N/A
2,Josh Richardson,FG_MISS,None,11:25,1,Heat,Bulls,0 - 0,1,27,3,Jumper
3,Ryan Arcidiacono,DEFENSIVE_REBOUND,None,11:22,1,Bulls,Heat,0 - 0,0,N/A,N/A,N/A
4,Lauri Markkanen,FG_MISS,None,11:13,1,Bulls,Heat,0 - 0,0,25,3,Jumper
5,Hassan Whiteside,DEFENSIVE_REBOUND,None,11:11,1,Heat,Bulls,0 - 0,1,N/A,N/A,N/A
6,Justise Winslow,FG_UNASSISTED,None,11:03,1,Heat,Bulls,0 - 2,1,13,3,Jumper
7,Lauri Markkanen,TURNOVER,James Johnson,10:48,1,Bulls,Heat,0 - 2,0,N/A,N/A,N/A
8,Justise Winslow,FG_MISS,None,10:38,1,Heat,Bulls,0 - 2,1,-,3,Jumper
9,Justise Winslow,OFFENSIVE_REBOUND,None,10:35,1,Heat,Bulls,0 - 2,1,N/A,N/A,N/A
10,Wayne Ellington,FG_ASSISTED,Justise Winslow,10:32,1,Heat,Bulls,0 - 5,1,24,3,Jumper
11,Robin Lopez,FG_UNASSISTED,None,10:15,1,Bulls,Heat,2 - 5,0,-,3,Jumper
12,James Johnson,TURNOVER,None,10:06,1,Heat,Bulls,2 - 5,1,N/A,N/A,N/A
13,Robin Lopez,FG_ASSISTED,Kris Dunn,9:55,1,Bulls,Heat,4 - 5,0,9,3,Jumper
14,James Johnson,FG_MISS,None,9:41,1,Heat,Bulls,4 - 5,1,0,2,Layup
15,Kris Dunn,DEFENSIVE_REBOUND,None,9:39,1,Bulls,Heat,4 - 5,0,N/A,N/A,N/A
16,Kris Dunn,FG_MISS,None,9:35,1,Bulls,Heat,4 - 5,0,10,3,Jumper
