,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
26,Wesley Johnson,TURNOVER,None,9:06,4,Wizards,Celtics,86 - 87,0,N/A,N/A,N/A
27,Jayson Tatum,FG_ASSISTED,Terry Rozier,9:00,4,Celtics,Wizards,86 - 89,1,15,3,Jumper
28,Troy Brown,FG_MISS,None,8:39,4,Wizards,Celtics,86 - 89,0, ,3,Jumper
29,Team,DEFENSIVE_REBOUND,None,8:38,4,Celtics,Wizards,86 - 89,1,N/A,N/A,N/A
30,Trevor Ariza,SUBSTITUTION,Johnson Wesley,8:38,4,Wizards,Celtics,86 - 89,0,N/A,N/A,N/A
31,Jayson Tatum,FG_MISS,Trevor Ariza,8:27,4,Wizards,Celtics,86 - 89,1,8,3,Jumper
32,Daniel Theis,OFFENSIVE_REBOUND,None,8:26,4,Celtics,Wizards,86 - 89,1,N/A,N/A,N/A
33,Daniel Theis,FG_UNASSISTED,None,8:25,4,Celtics,Wizards,86 - 91,1,0,2,Dunk
34,Team,Unknown,None,8:25,4,Wizards,Celtics,86 - 91,0,N/A,N/A,N/A
35,Jeff Green,SUBSTITUTION,Brown Troy,8:25,4,Wizards,Celtics,86 - 91,0,N/A,N/A,N/A
36,Bradley Beal,SUBSTITUTION,Satoransky Tomas,8:25,4,Wizards,Celtics,86 - 91,0,N/A,N/A,N/A
37,Bradley Beal,FG_ASSISTED,Jabari Parker,8:12,4,Wizards,Celtics,88 - 91,0,0,2,Dunk
38,Daniel Theis,FG_MISS,None,7:50,4,Celtics,Wizards,88 - 91,1,24,3,Jumper
39,Jabari Parker,DEFENSIVE_REBOUND,None,7:48,4,Wizards,Celtics,88 - 91,0,N/A,N/A,N/A
40,Jabari Parker,TURNOVER,Jayson Tatum,7:38,4,Wizards,Celtics,88 - 91,0,N/A,N/A,N/A
41,Terry Rozier,FG_MISS,Jeff Green,7:34,4,Wizards,Celtics,88 - 91,1,0,2,Layup
42,Gordon Hayward,OFFENSIVE_REBOUND,None,7:32,4,Celtics,Wizards,88 - 91,1,N/A,N/A,N/A
43,Gordon Hayward,FG_MISS,Thomas Bryant,7:30,4,Wizards,Celtics,88 - 91,1,1,3,Jumper
44,Jayson Tatum,OFFENSIVE_REBOUND,None,7:30,4,Celtics,Wizards,88 - 91,1,N/A,N/A,N/A
45,Jaylen Brown,FG_UNASSISTED,None,7:23,4,Celtics,Wizards,88 - 93,1,9,3,Jumper
46,Bradley Beal,TURNOVER,Daniel Theis,7:07,4,Wizards,Celtics,88 - 93,0,N/A,N/A,N/A
47,Terry Rozier,FG_ASSISTED,Jaylen Brown,7:03,4,Celtics,Wizards,88 - 95,1,0,2,Layup
48,Bradley Beal,TURNOVER,Terry Rozier,6:53,4,Wizards,Celtics,88 - 95,0,N/A,N/A,N/A
49,Terry Rozier,FG_UNASSISTED,None,6:50,4,Celtics,Wizards,88 - 97,1,0,2,Dunk
50,Team,Unknown,None,6:50,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
51,Bobby Portis,SUBSTITUTION,Bryant Thomas,6:50,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
52,Jabari Parker,TURNOVER,None,6:40,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
53,Daniel Theis,FG_MISS,None,6:26,4,Celtics,Wizards,88 - 97,1,24,3,Jumper
54,Jabari Parker,DEFENSIVE_REBOUND,None,6:23,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
