,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Hassan Whiteside,JUMP_BALL,None,12:00,1,Knicks,Heat,0 - 0,1,N/A,N/A,N/A
1,Frank Ntilikina,FG_UNASSISTED,None,11:46,1,Knicks,Heat,0 - 2,1,-,3,Jumper
2,Hassan Whiteside,FG_ASSISTED,Justise Winslow,11:31,1,Heat,Knicks,2 - 2,0,7,3,Jumper
3,Kevin Knox,TURNOVER,Josh Richardson,11:16,1,Knicks,Heat,2 - 2,1,N/A,N/A,N/A
4,Kevin Knox,FOUL_ON_FLOOR,None,11:15,1,Knicks,Heat,2 - 2,1,N/A,N/A,N/A
5,James Johnson,FG_MISS,None,11:03,1,Heat,Knicks,2 - 2,0,25,3,Jumper
6,Tim Hardaway,DEFENSIVE_REBOUND,None,11:01,1,Knicks,Heat,2 - 2,1,N/A,N/A,N/A
7,Kevin Knox,FG_MISS,None,10:43,1,Knicks,Heat,2 - 2,1,18,3,Jumper
8,Hassan Whiteside,DEFENSIVE_REBOUND,None,10:41,1,Heat,Knicks,2 - 2,0,N/A,N/A,N/A
9,Josh Richardson,FG_MISS,None,10:30,1,Heat,Knicks,2 - 2,0,22,3,Jumper
10,Noah Vonleh,DEFENSIVE_REBOUND,None,10:28,1,Knicks,Heat,2 - 2,1,N/A,N/A,N/A
11,Noah Vonleh,FG_MISS,None,10:17,1,Knicks,Heat,2 - 2,1,27,3,Jumper
12,James Johnson,DEFENSIVE_REBOUND,None,10:15,1,Heat,Knicks,2 - 2,0,N/A,N/A,N/A
13,Wayne Ellington,FG_MISS,None,10:09,1,Heat,Knicks,2 - 2,0,26,3,Jumper
14,Frank Ntilikina,DEFENSIVE_REBOUND,None,10:07,1,Knicks,Heat,2 - 2,1,N/A,N/A,N/A
15,Noah Vonleh,FG_MISS,None,9:55,1,Knicks,Heat,2 - 2,1,26,3,Jumper
16,Hassan Whiteside,DEFENSIVE_REBOUND,None,9:53,1,Heat,Knicks,2 - 2,0,N/A,N/A,N/A
17,Hassan Whiteside,FG_ASSISTED,James Johnson,9:43,1,Heat,Knicks,4 - 2,0,0,2,Layup
18,Kevin Knox's,FG_MISS,Hassan Whiteside,9:34,1,Heat,Knicks,4 - 2,1,0,2,Layup
19,Team,OFFENSIVE_REBOUND,None,9:32,1,Knicks,Heat,4 - 2,1,N/A,N/A,N/A
20,Lance Thomas,FG_MISS,None,9:22,1,Knicks,Heat,4 - 2,1,20,3,Jumper
21,Justise Winslow,DEFENSIVE_REBOUND,None,9:20,1,Heat,Knicks,4 - 2,0,N/A,N/A,N/A
22,Justise Winslow,FG_MISS,None,9:15,1,Heat,Knicks,4 - 2,0,0,2,Layup
23,Noah Vonleh,DEFENSIVE_REBOUND,None,9:13,1,Knicks,Heat,4 - 2,1,N/A,N/A,N/A
24,Tim Hardaway,FG_MISS,None,9:06,1,Knicks,Heat,4 - 2,1,27,3,Jumper
25,Hassan Whiteside,DEFENSIVE_REBOUND,None,9:04,1,Heat,Knicks,4 - 2,0,N/A,N/A,N/A
26,Wayne Ellington,FG_MISS,None,8:53,1,Heat,Knicks,4 - 2,0,22,3,Jumper
27,Team,DEFENSIVE_REBOUND,None,8:52,1,Knicks,Heat,4 - 2,1,N/A,N/A,N/A
28,Hassan Whiteside,FOUL_ON_FLOOR,None,8:52,1,Heat,Knicks,4 - 2,0,N/A,N/A,N/A
29,Tim Hardaway,FG_UNASSISTED,None,8:37,1,Knicks,Heat,4 - 4,1,15,3,Jumper
30,Wayne Ellington,FOUL_ON_FLOOR,None,8:37,1,Heat,Knicks,4 - 4,0,N/A,N/A,N/A
31,Tim Hardaway,FT,None,8:37,1,Knicks,Heat,4 - 5,1,N/A,1,N/A
32,Hassan Whiteside,FG_MISS,None,8:18,1,Heat,Knicks,4 - 5,0,16,3,Jumper
33,Noah Vonleh,DEFENSIVE_REBOUND,None,8:16,1,Knicks,Heat,4 - 5,1,N/A,N/A,N/A
34,Kevin Knox,FG_ASSISTED,Frank Ntilikina,8:07,1,Knicks,Heat,4 - 7,1,9,3,Jumper
35,Wayne Ellington,FG_MISS,None,7:54,1,Heat,Knicks,4 - 7,0,26,3,Jumper
36,Frank Ntilikina,DEFENSIVE_REBOUND,None,7:52,1,Knicks,Heat,4 - 7,1,N/A,N/A,N/A
37,Frank Ntilikina,FG_MISS,None,7:45,1,Knicks,Heat,4 - 7,1,0,2,Layup
38,Hassan Whiteside,DEFENSIVE_REBOUND,None,7:43,1,Heat,Knicks,4 - 7,0,N/A,N/A,N/A
39,Hassan Whiteside,FG_UNASSISTED,None,7:21,1,Heat,Knicks,6 - 7,0,0,2,Layup
40,Josh Richardson,FOUL_ON_FLOOR,None,7:11,1,Heat,Knicks,6 - 7,0,N/A,N/A,N/A
41,Noah Vonleh,TURNOVER,James Johnson,7:06,1,Knicks,Heat,6 - 7,1,N/A,N/A,N/A
42,Tim Hardaway,FOUL_ON_FLOOR,None,7:06,1,Knicks,Heat,6 - 7,1,N/A,N/A,N/A
43,James Johnson,FG_ASSISTED,Josh Richardson,6:52,1,Heat,Knicks,9 - 7,0,23,3,Jumper
44,Hassan Whiteside,FOUL_TECHNICAL,None,6:37,1,Heat,Knicks,9 - 7,0,N/A,N/A,N/A
45,Team,Unknown,None,6:37,1,Knicks,Heat,9 - 7,1,N/A,N/A,N/A
46,Tim Hardaway,FT,None,6:37,1,Knicks,Heat,9 - 8,1,N/A,1,N/A
47,Kevin Knox,FG_MISS,None,6:30,1,Knicks,Heat,9 - 8,1,18,3,Jumper
48,Hassan Whiteside,DEFENSIVE_REBOUND,None,6:28,1,Heat,Knicks,9 - 8,0,N/A,N/A,N/A
49,Justise Winslow,FG_ASSISTED,Hassan Whiteside,6:11,1,Heat,Knicks,12 - 8,0,25,3,Jumper
50,Tim Hardaway,FG_ASSISTED,Frank Ntilikina,5:52,1,Knicks,Heat,12 - 11,1,26,3,Jumper
51,Justise Winslow,TURNOVER,Noah Vonleh,5:39,1,Heat,Knicks,12 - 11,0,N/A,N/A,N/A
52,Lance Thomas,FG_UNASSISTED,None,5:29,1,Knicks,Heat,12 - 13,1,3,3,Jumper
53,James Johnson,FG_ASSISTED,Hassan Whiteside,5:10,1,Heat,Knicks,14 - 13,0,5,3,Jumper
54,Josh Richardson,FOUL_ON_FLOOR,None,5:03,1,Heat,Knicks,14 - 13,0,N/A,N/A,N/A
55,Dwyane Wade,SUBSTITUTION,Richardson Josh,5:03,1,Heat,Knicks,14 - 13,0,N/A,N/A,N/A
56,Kevin Knox,TURNOVER,None,4:55,1,Knicks,Heat,14 - 13,1,N/A,N/A,N/A
57,Kevin Knox,TURNOVER,None,4:55,1,Knicks,Heat,14 - 13,1,N/A,N/A,N/A
58,Allonzo Trier,SUBSTITUTION,Knox Kevin,4:55,1,Knicks,Heat,14 - 13,1,N/A,N/A,N/A
59,James Johnson,FG_UNASSISTED,None,4:33,1,Heat,Knicks,16 - 13,0,0,2,Layup
60,Noah Vonleh,FG_MISS,None,4:13,1,Knicks,Heat,16 - 13,1, ,3,Jumper
61,Dwyane Wade,DEFENSIVE_REBOUND,None,4:11,1,Heat,Knicks,16 - 13,0,N/A,N/A,N/A
62,Dwyane Wade,FG_ASSISTED,Justise Winslow,4:06,1,Heat,Knicks,19 - 13,0,25,3,Jumper
63,Team,Unknown,None,3:59,1,Knicks,Heat,19 - 13,1,N/A,N/A,N/A
64,Damyean Dotson,SUBSTITUTION,Hardaway Tim,3:59,1,Knicks,Heat,19 - 13,1,N/A,N/A,N/A
65,Allonzo Trier,FG_MISS,None,3:51,1,Knicks,Heat,19 - 13,1,18,3,Jumper
66,Hassan Whiteside,DEFENSIVE_REBOUND,None,3:49,1,Heat,Knicks,19 - 13,0,N/A,N/A,N/A
67,Dwyane Wade,TURNOVER,Lance Thomas,3:35,1,Heat,Knicks,19 - 13,0,N/A,N/A,N/A
68,Hassan Whiteside,FOUL_ON_FLOOR,None,3:35,1,Heat,Knicks,19 - 13,0,N/A,N/A,N/A
69,Lance Thomas,FT,None,3:35,1,Knicks,Heat,19 - 14,1,N/A,1,N/A
70,Bam Adebayo,SUBSTITUTION,Whiteside Hassan,3:35,1,Heat,Knicks,19 - 14,0,N/A,N/A,N/A
71,Mitchell Robinson,SUBSTITUTION,Vonleh Noah,3:35,1,Knicks,Heat,19 - 14,1,N/A,N/A,N/A
72,Lance Thomas,FT,None,3:35,1,Knicks,Heat,19 - 15,1,N/A,1,N/A
73,Dwyane Wade,FG_MISS,None,3:20,1,Heat,Knicks,19 - 15,0,21,3,Jumper
74,Lance Thomas,DEFENSIVE_REBOUND,None,3:18,1,Knicks,Heat,19 - 15,1,N/A,N/A,N/A
75,Allonzo Trier,FG_ASSISTED,Damyean Dotson,3:11,1,Knicks,Heat,19 - 18,1,27,3,Jumper
76,Lance Thomas,FOUL_ON_FLOOR,None,2:56,1,Knicks,Heat,19 - 18,1,N/A,N/A,N/A
77,Dwyane Wade,FT,None,2:56,1,Heat,Knicks,20 - 18,0,N/A,1,N/A
78,Derrick Jones,SUBSTITUTION,Johnson James,2:56,1,Heat,Knicks,20 - 18,0,N/A,N/A,N/A
79,Dwyane Wade,FT,None,2:56,1,Heat,Knicks,21 - 18,0,N/A,1,N/A
80,Damyean Dotson,FG_ASSISTED,Mitchell Robinson,2:43,1,Knicks,Heat,21 - 20,1,19,3,Jumper
81,Justise Winslow,FG_MISS,None,2:29,1,Heat,Knicks,21 - 20,0,0,2,Layup
82,Justise Winslow,OFFENSIVE_REBOUND,None,2:28,1,Heat,Knicks,21 - 20,0,N/A,N/A,N/A
83,Mitchell Robinson,FOUL_ON_FLOOR,None,2:27,1,Knicks,Heat,21 - 20,1,N/A,N/A,N/A
84,Justise Winslow,FT_MISS,None,2:27,1,Heat,Knicks,21 - 20,0,N/A,1,N/A
85,Team,OFFENSIVE_REBOUND,None,2:27,1,Heat,Knicks,21 - 20,0,N/A,N/A,N/A
86,Mario Hezonja,SUBSTITUTION,Thomas Lance,2:27,1,Knicks,Heat,21 - 20,1,N/A,N/A,N/A
87,Justise Winslow,FT,None,2:27,1,Heat,Knicks,22 - 20,0,N/A,1,N/A
88,Frank Ntilikina,FG_UNASSISTED,None,2:19,1,Knicks,Heat,22 - 22,1,19,3,Jumper
89,Dwyane Wade,FG_MISS,None,2:08,1,Heat,Knicks,22 - 22,0, ,3,Jumper
90,Mitchell Robinson,DEFENSIVE_REBOUND,None,2:06,1,Knicks,Heat,22 - 22,1,N/A,N/A,N/A
91,Mario Hezonja,FG_ASSISTED,Frank Ntilikina,2:00,1,Knicks,Heat,22 - 24,1,0,2,Layup
92,Wayne Ellington,FOUL_ON_FLOOR,None,2:00,1,Heat,Knicks,22 - 24,0,N/A,N/A,N/A
93,Dion Waiters,SUBSTITUTION,Ellington Wayne,2:00,1,Heat,Knicks,22 - 24,0,N/A,N/A,N/A
94,Mario Hezonja,FT_MISS,None,2:00,1,Knicks,Heat,22 - 24,1,N/A,1,N/A
95,Justise Winslow,DEFENSIVE_REBOUND,None,1:58,1,Heat,Knicks,22 - 24,0,N/A,N/A,N/A
96,Dion Waiters,FG_MISS,None,1:42,1,Heat,Knicks,22 - 24,0,25,3,Jumper
97,Mario Hezonja,DEFENSIVE_REBOUND,None,1:40,1,Knicks,Heat,22 - 24,1,N/A,N/A,N/A
98,Frank Ntilikina,FG_MISS,None,1:31,1,Knicks,Heat,22 - 24,1,25,3,Jumper
99,Derrick Jones,DEFENSIVE_REBOUND,None,1:29,1,Heat,Knicks,22 - 24,0,N/A,N/A,N/A
100,Justise Winslow,FG_ASSISTED,Dion Waiters,1:14,1,Heat,Knicks,25 - 24,0,27,3,Jumper
101,Damyean Dotson,FG_MISS,None,57.1,1,Knicks,Heat,25 - 24,1,26,3,Jumper
102,Justise Winslow,DEFENSIVE_REBOUND,None,55.3,1,Heat,Knicks,25 - 24,0,N/A,N/A,N/A
103,Justise Winslow's,FG_MISS,Mitchell Robinson,51.2,1,Knicks,Heat,25 - 24,0, ,3,Jumper
104,Team,OFFENSIVE_REBOUND,None,49.2,1,Heat,Knicks,25 - 24,0,N/A,N/A,N/A
