,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
110,Gordon Hayward,FT,None,45.6,3,Celtics,76ers,66 - 73,1,N/A,1,N/A
111,Robert Covington,SUBSTITUTION,Saric Dario,45.6,3,76ers,Celtics,66 - 73,0,N/A,N/A,N/A
112,Gordon Hayward,FT_MISS,None,45.6,3,Celtics,76ers,66 - 73,1,N/A,1,N/A
113,Marcus Morris,OFFENSIVE_REBOUND,None,45.6,3,Celtics,76ers,66 - 73,1,N/A,N/A,N/A
114,Marcus Morris,FG_UNASSISTED,None,45.6,3,Celtics,76ers,66 - 75,1, ,3,Jumper
115,Markelle Fultz,TURNOVER,None,39.8,3,76ers,Celtics,66 - 75,0,N/A,N/A,N/A
116,Marcus Morris,FG_UNASSISTED,None,27.5,3,Celtics,76ers,66 - 77,1,18,3,Jumper
117,Markelle Fultz,FG_MISS,None,3.7,3,76ers,Celtics,66 - 77,0,0,2,Layup
118,Joel Embiid,OFFENSIVE_REBOUND,None,3.7,3,76ers,Celtics,66 - 77,0,N/A,N/A,N/A
119,End of,Unknown,None,0.0,3,Celtics,76ers,66 - 77,1,N/A,N/A,N/A
0,Kyrie Irving,SUBSTITUTION,Hayward Gordon,12:00,4,Celtics,76ers,66 - 77,1,N/A,N/A,N/A
1,Jaylen Brown,SUBSTITUTION,Smart Marcus,12:00,4,Celtics,76ers,66 - 77,1,N/A,N/A,N/A
2,Ben Simmons,SUBSTITUTION,Fultz Markelle,12:00,4,76ers,Celtics,66 - 77,0,N/A,N/A,N/A
3,Aron Baynes,FOUL_ON_FLOOR,None,11:40,4,Celtics,76ers,66 - 77,1,N/A,N/A,N/A
4,Joel Embiid,FT_MISS,None,11:40,4,76ers,Celtics,66 - 77,0,N/A,1,N/A
5,Team,OFFENSIVE_REBOUND,None,11:40,4,76ers,Celtics,66 - 77,0,N/A,N/A,N/A
6,Joel Embiid,FT,None,11:40,4,76ers,Celtics,67 - 77,0,N/A,1,N/A
7,Jaylen Brown,FG_ASSISTED,Aron Baynes,11:27,4,Celtics,76ers,67 - 80,1,28,3,Jumper
8,Joel Embiid,FG_MISS,None,11:08,4,76ers,Celtics,67 - 80,0,8,3,Jumper
9,Kyrie Irving,DEFENSIVE_REBOUND,None,11:06,4,Celtics,76ers,67 - 80,1,N/A,N/A,N/A
10,Jaylen Brown,FG_UNASSISTED,None,10:59,4,Celtics,76ers,67 - 82,1,15,3,Jumper
11,Team,Unknown,None,10:57,4,76ers,Celtics,67 - 82,0,N/A,N/A,N/A
12,JJ Redick,SUBSTITUTION,Shamet Landry,10:57,4,76ers,Celtics,67 - 82,0,N/A,N/A,N/A
13,JJ Redick,FG_ASSISTED,Joel Embiid,10:39,4,76ers,Celtics,69 - 82,0,19,3,Jumper
14,Aron Baynes,FG_ASSISTED,Kyrie Irving,10:21,4,Celtics,76ers,69 - 85,1,23,3,Jumper
15,Marcus Morris,FOUL_ON_FLOOR,None,10:04,4,Celtics,76ers,69 - 85,1,N/A,N/A,N/A
16,Ben Simmons,FT_MISS,None,10:04,4,76ers,Celtics,69 - 85,0,N/A,1,N/A
17,Team,OFFENSIVE_REBOUND,None,10:04,4,76ers,Celtics,69 - 85,0,N/A,N/A,N/A
18,Ben Simmons,FT,None,10:04,4,76ers,Celtics,70 - 85,0,N/A,1,N/A
19,Aron Baynes,FG_MISS,None,9:50,4,Celtics,76ers,70 - 85,1,23,3,Jumper
20,Ben Simmons,DEFENSIVE_REBOUND,None,9:48,4,76ers,Celtics,70 - 85,0,N/A,N/A,N/A
21,Joel Embiid,FOUL_ON_FLOOR,None,9:45,4,76ers,Celtics,70 - 85,0,N/A,N/A,N/A
