,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
22,Kentavious Caldwell-Pope,FG_ASSISTED,Michael Beasley,9:25,2,Lakers,Pistons,27 - 29,1,25,3,Jumper
23,Reggie Bullock,FG_ASSISTED,Blake Griffin,8:59,2,Pistons,Lakers,29 - 29,0,0,2,Layup
24,Michael Beasley,FG_MISS,None,8:37,2,Lakers,Pistons,29 - 29,1,22,3,Jumper
25,Luke Kennard,DEFENSIVE_REBOUND,None,8:35,2,Pistons,Lakers,29 - 29,0,N/A,N/A,N/A
26,Luke Kennard,FG_MISS,Lonzo Ball,8:31,2,Lakers,Pistons,29 - 29,0,16,3,Jumper
27,Lonzo Ball,DEFENSIVE_REBOUND,None,8:28,2,Lakers,Pistons,29 - 29,1,N/A,N/A,N/A
28,Kentavious Caldwell-Pope,FG_ASSISTED,Lonzo Ball,8:26,2,Lakers,Pistons,29 - 31,1, ,3,Jumper
29,Reggie Jackson,FG_MISS,None,8:12,2,Pistons,Lakers,29 - 31,0,26,3,Jumper
30,Lance Stephenson,DEFENSIVE_REBOUND,None,8:08,2,Lakers,Pistons,29 - 31,1,N/A,N/A,N/A
31,Reggie Jackson,FOUL_ON_FLOOR,None,8:08,2,Pistons,Lakers,29 - 31,0,N/A,N/A,N/A
32,Kyle Kuzma,SUBSTITUTION,Beasley Michael,8:08,2,Lakers,Pistons,29 - 31,1,N/A,N/A,N/A
33,Bruce Brown,SUBSTITUTION,Kennard Luke,8:08,2,Pistons,Lakers,29 - 31,0,N/A,N/A,N/A
34,Kyle Kuzma,FG_ASSISTED,Kentavious Caldwell-Pope,7:55,2,Lakers,Pistons,29 - 34,1,23,3,Jumper
35,Reggie Bullock,FG_MISS,None,7:33,2,Pistons,Lakers,29 - 34,0,26,3,Jumper
36,Jon Leuer,OFFENSIVE_REBOUND,None,7:29,2,Pistons,Lakers,29 - 34,0,N/A,N/A,N/A
37,Bruce Brown,FG_MISS,None,7:19,2,Pistons,Lakers,29 - 34,0,26,3,Jumper
38,Lonzo Ball,DEFENSIVE_REBOUND,None,7:16,2,Lakers,Pistons,29 - 34,1,N/A,N/A,N/A
39,Jon Leuer,FOUL_FLAGRANT_1,None,7:10,2,Pistons,Lakers,29 - 34,0,N/A,N/A,N/A
40,JaVale McGee,FT,None,7:10,2,Lakers,Pistons,29 - 35,1,N/A,1,N/A
41,JaVale McGee,FT,None,7:10,2,Lakers,Pistons,29 - 36,1,N/A,1,N/A
42,Kentavious Caldwell-Pope,FG_UNASSISTED,None,6:59,2,Lakers,Pistons,29 - 38,1,2,3,Jumper
43,Reggie Bullock,FG_ASSISTED,Blake Griffin,6:38,2,Pistons,Lakers,31 - 38,0,0,2,Layup
44,Lonzo Ball,FG_MISS,None,6:18,2,Lakers,Pistons,31 - 38,1, ,3,Jumper
45,Jon Leuer,DEFENSIVE_REBOUND,None,6:17,2,Pistons,Lakers,31 - 38,0,N/A,N/A,N/A
46,Lonzo Ball,FOUL_ON_FLOOR,None,6:09,2,Lakers,Pistons,31 - 38,1,N/A,N/A,N/A
47,Team,Unknown,None,6:09,2,Lakers,Pistons,31 - 38,1,N/A,N/A,N/A
48,Josh Hart,SUBSTITUTION,Stephenson Lance,6:09,2,Lakers,Pistons,31 - 38,1,N/A,N/A,N/A
49,Andre Drummond,SUBSTITUTION,Leuer Jon,6:09,2,Pistons,Lakers,31 - 38,0,N/A,N/A,N/A
50,Bruce Brown,FG_MISS,None,5:58,2,Pistons,Lakers,31 - 38,0,11,3,Jumper
51,Team,DEFENSIVE_REBOUND,None,5:58,2,Lakers,Pistons,31 - 38,1,N/A,N/A,N/A
52,JaVale McGee,FG_ASSISTED,Lonzo Ball,5:45,2,Lakers,Pistons,31 - 40,1,0,2,Layup
53,Reggie Jackson,FG_MISS,None,5:33,2,Pistons,Lakers,31 - 40,0,14,3,Jumper
54,Josh Hart,DEFENSIVE_REBOUND,None,5:30,2,Lakers,Pistons,31 - 40,1,N/A,N/A,N/A
55,Josh Hart,TURNOVER,None,5:30,2,Lakers,Pistons,31 - 40,1,N/A,N/A,N/A
56,Ivica Zubac,SUBSTITUTION,Caldwell-Pope Kentavious,5:30,2,Lakers,Pistons,31 - 40,1,N/A,N/A,N/A
57,Brandon Ingram,SUBSTITUTION,McGee JaVale,5:30,2,Lakers,Pistons,31 - 40,1,N/A,N/A,N/A
58,Reggie Jackson,FG_ASSISTED,Bruce Brown,5:12,2,Pistons,Lakers,34 - 40,0,25,3,Jumper
