,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
81,Andrew Wiggins,FG_MISS,None,2:57,1,Timberwolves,Bulls,15 - 20,1,28,3,Jumper
82,Team,OFFENSIVE_REBOUND,None,2:55,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
83,Robin Lopez,SUBSTITUTION,Carter Wendell,2:55,1,Bulls,Timberwolves,15 - 20,0,N/A,N/A,N/A
84,Karl-Anthony Towns,FG_MISS,None,2:50,1,Timberwolves,Bulls,15 - 20,1,27,3,Jumper
85,Dario Saric,OFFENSIVE_REBOUND,None,2:46,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
86,Derrick Rose,FG_MISS,None,2:44,1,Timberwolves,Bulls,15 - 20,1,26,3,Jumper
87,Zach LaVine,DEFENSIVE_REBOUND,None,2:40,1,Bulls,Timberwolves,15 - 20,0,N/A,N/A,N/A
88,Antonio Blakeney,FG_MISS,None,2:35,1,Bulls,Timberwolves,15 - 20,0, ,3,Jumper
89,Derrick Rose,DEFENSIVE_REBOUND,None,2:33,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
90,Jeff Teague,TURNOVER,None,2:21,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
91,Jeff Teague,TURNOVER,None,2:21,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
92,Gorgui Dieng,SUBSTITUTION,Teague Jeff,2:21,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
93,Tyus Jones,SUBSTITUTION,Towns Karl-Anthony,2:21,1,Timberwolves,Bulls,15 - 20,1,N/A,N/A,N/A
94,Zach LaVine,FG_UNASSISTED,None,2:09,1,Bulls,Timberwolves,17 - 20,0,0,2,Layup
95,Andrew Wiggins,FG_MISS,Robin Lopez,1:52,1,Bulls,Timberwolves,17 - 20,1,0,2,Layup
96,Team,OFFENSIVE_REBOUND,None,1:51,1,Timberwolves,Bulls,17 - 20,1,N/A,N/A,N/A
97,Andrew Wiggins,FG_MISS,None,1:46,1,Timberwolves,Bulls,17 - 20,1,14,3,Jumper
98,Robin Lopez,DEFENSIVE_REBOUND,None,1:44,1,Bulls,Timberwolves,17 - 20,0,N/A,N/A,N/A
99,Antonio Blakeney,FG_ASSISTED,Zach LaVine,1:38,1,Bulls,Timberwolves,20 - 20,0,22,3,Jumper
100,Derrick Rose,TURNOVER,None,1:25,1,Timberwolves,Bulls,20 - 20,1,N/A,N/A,N/A
101,Shaquille Harrison,SUBSTITUTION,Arcidiacono Ryan,1:25,1,Bulls,Timberwolves,20 - 20,0,N/A,N/A,N/A
102,Dario Saric,FOUL_ON_FLOOR,None,1:18,1,Timberwolves,Bulls,20 - 20,1,N/A,N/A,N/A
