,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
40,Andrew Wiggins,DEFENSIVE_REBOUND,None,6:41,3,Timberwolves,Grizzlies,60 - 54,1,N/A,N/A,N/A
41,Andrew Wiggins,TURNOVER,None,6:28,3,Timberwolves,Grizzlies,60 - 54,1,N/A,N/A,N/A
42,Garrett Temple,FG_ASSISTED,Jaren Jackson,6:13,3,Grizzlies,Timberwolves,62 - 54,0,0,2,Layup
43,Andrew Wiggins,FOUL_ON_FLOOR,None,6:13,3,Timberwolves,Grizzlies,62 - 54,1,N/A,N/A,N/A
44,Garrett Temple,FT,None,6:13,3,Grizzlies,Timberwolves,63 - 54,0,N/A,1,N/A
45,Marc Gasol,FOUL_ON_FLOOR,None,6:05,3,Grizzlies,Timberwolves,63 - 54,0,N/A,N/A,N/A
46,Andrew Wiggins,FG_MISS,Jaren Jackson,5:52,3,Grizzlies,Timberwolves,63 - 54,1,0,2,Layup
47,Garrett Temple,DEFENSIVE_REBOUND,None,5:49,3,Grizzlies,Timberwolves,63 - 54,0,N/A,N/A,N/A
48,Marc Gasol,FG_ASSISTED,Mike Conley,5:35,3,Grizzlies,Timberwolves,66 - 54,0,23,3,Jumper
49,Team,Unknown,None,5:34,3,Timberwolves,Grizzlies,66 - 54,1,N/A,N/A,N/A
50,Derrick Rose,SUBSTITUTION,Covington Robert,5:34,3,Timberwolves,Grizzlies,66 - 54,1,N/A,N/A,N/A
51,Dario Saric,SUBSTITUTION,Gibson Taj,5:34,3,Timberwolves,Grizzlies,66 - 54,1,N/A,N/A,N/A
52,Shelvin Mack,SUBSTITUTION,Conley Mike,5:34,3,Grizzlies,Timberwolves,66 - 54,0,N/A,N/A,N/A
53,JaMychal Green,SUBSTITUTION,Jackson Jaren,5:34,3,Grizzlies,Timberwolves,66 - 54,0,N/A,N/A,N/A
54,Andrew Wiggins,FG_MISS,None,5:20,3,Timberwolves,Grizzlies,66 - 54,1,12,3,Jumper
55,JaMychal Green,DEFENSIVE_REBOUND,None,5:16,3,Grizzlies,Timberwolves,66 - 54,0,N/A,N/A,N/A
56,JaMychal Green,FG_MISS,None,4:57,3,Grizzlies,Timberwolves,66 - 54,0,23,3,Jumper
57,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,4:55,3,Timberwolves,Grizzlies,66 - 54,1,N/A,N/A,N/A
58,Dario Saric,FG_MISS,None,4:38,3,Timberwolves,Grizzlies,66 - 54,1,23,3,Jumper
59,Garrett Temple,DEFENSIVE_REBOUND,None,4:34,3,Grizzlies,Timberwolves,66 - 54,0,N/A,N/A,N/A
60,Shelvin Mack,FG_UNASSISTED,None,4:27,3,Grizzlies,Timberwolves,69 - 54,0,26,3,Jumper
61,Jeff Teague,FG_MISS,None,4:13,3,Timberwolves,Grizzlies,69 - 54,1, ,3,Jumper
62,Shelvin Mack,DEFENSIVE_REBOUND,None,4:11,3,Grizzlies,Timberwolves,69 - 54,0,N/A,N/A,N/A
63,Shelvin Mack,FG_MISS,None,4:01,3,Grizzlies,Timberwolves,69 - 54,0,0,2,Layup
64,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,3:58,3,Timberwolves,Grizzlies,69 - 54,1,N/A,N/A,N/A
65,Derrick Rose,FG_ASSISTED,Andrew Wiggins,3:48,3,Timberwolves,Grizzlies,69 - 57,1,23,3,Jumper
66,Marc Gasol,FG_ASSISTED,Shelvin Mack,3:23,3,Grizzlies,Timberwolves,71 - 57,0,20,3,Jumper
67,Karl-Anthony Towns,FG_MISS,None,3:08,3,Timberwolves,Grizzlies,71 - 57,1,6,3,Jumper
68,Garrett Temple,DEFENSIVE_REBOUND,None,3:06,3,Grizzlies,Timberwolves,71 - 57,0,N/A,N/A,N/A
69,Shelvin Mack,FG_MISS,None,2:47,3,Grizzlies,Timberwolves,71 - 57,0,25,3,Jumper
70,Derrick Rose,DEFENSIVE_REBOUND,None,2:42,3,Timberwolves,Grizzlies,71 - 57,1,N/A,N/A,N/A
71,Andrew Wiggins,FG_MISS,None,2:36,3,Timberwolves,Grizzlies,71 - 57,1,19,3,Jumper
72,Marc Gasol,DEFENSIVE_REBOUND,None,2:33,3,Grizzlies,Timberwolves,71 - 57,0,N/A,N/A,N/A
73,Shelvin Mack,FG_ASSISTED,JaMychal Green,2:20,3,Grizzlies,Timberwolves,73 - 57,0,0,2,Layup
74,Team,Unknown,None,2:20,3,Timberwolves,Grizzlies,73 - 57,1,N/A,N/A,N/A
75,Tyus Jones,SUBSTITUTION,Teague Jeff,2:20,3,Timberwolves,Grizzlies,73 - 57,1,N/A,N/A,N/A
76,Wayne Selden,SUBSTITUTION,Temple Garrett,2:20,3,Grizzlies,Timberwolves,73 - 57,0,N/A,N/A,N/A
77,Jaren Jackson,SUBSTITUTION,Gasol Marc,2:20,3,Grizzlies,Timberwolves,73 - 57,0,N/A,N/A,N/A
78,Andrew Wiggins,FG_ASSISTED,Karl-Anthony Towns,1:59,3,Timberwolves,Grizzlies,73 - 59,1,0,2,Dunk
79,JaMychal Green,TURNOVER,None,1:44,3,Grizzlies,Timberwolves,73 - 59,0,N/A,N/A,N/A
80,Gorgui Dieng,SUBSTITUTION,Towns Karl-Anthony,1:44,3,Timberwolves,Grizzlies,73 - 59,1,N/A,N/A,N/A
81,Gorgui Dieng,TURNOVER,None,1:27,3,Timberwolves,Grizzlies,73 - 59,1,N/A,N/A,N/A
82,Shelvin Mack,FG_MISS,None,1:04,3,Grizzlies,Timberwolves,73 - 59,0,24,3,Jumper
83,Tyus Jones,DEFENSIVE_REBOUND,None,1:01,3,Timberwolves,Grizzlies,73 - 59,1,N/A,N/A,N/A
84,Derrick Rose,FG_ASSISTED,Tyus Jones,57.8,3,Timberwolves,Grizzlies,73 - 62,1,25,3,Jumper
85,Jaren Jackson,FG_UNASSISTED,None,44.4,3,Grizzlies,Timberwolves,75 - 62,0,11,3,Jumper
86,Kyle Anderson,FOUL_ON_FLOOR,None,32.7,3,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
87,MarShon Brooks,SUBSTITUTION,Selden Wayne,32.7,3,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
88,Jaren Jackson,JUMP_BALL,None,23.7,3,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
89,Dario Saric,TURNOVER,Shelvin Mack,20.2,3,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
90,MarShon Brooks,FG_MISS,None,3.0,3,Grizzlies,Timberwolves,75 - 62,0,19,3,Jumper
