,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
36,Lance Thomas,SUBSTITUTION,Hezonja Mario,6:43,4,Knicks,Hornets,75 - 87,0,N/A,N/A,N/A
37,Kevin Knox,SUBSTITUTION,Trier Allonzo,6:43,4,Knicks,Hornets,75 - 87,0,N/A,N/A,N/A
38,Tim Hardaway,SUBSTITUTION,Dotson Damyean,6:43,4,Knicks,Hornets,75 - 87,0,N/A,N/A,N/A
39,Miles Bridges,FOUL_ON_FLOOR,None,6:28,4,Hornets,Knicks,75 - 87,1,N/A,N/A,N/A
40,Noah Vonleh,FT_MISS,None,6:28,4,Knicks,Hornets,75 - 87,0,N/A,1,N/A
41,Team,OFFENSIVE_REBOUND,None,6:28,4,Knicks,Hornets,75 - 87,0,N/A,N/A,N/A
42,Noah Vonleh,FT,None,6:28,4,Knicks,Hornets,76 - 87,0,N/A,1,N/A
43,Malik Monk,FG_ASSISTED,Kemba Walker,6:15,4,Hornets,Knicks,76 - 90,1,25,3,Jumper
44,Kevin Knox,FG_ASSISTED,Trey Burke,5:58,4,Knicks,Hornets,79 - 90,0,26,3,Jumper
45,Marvin Williams,FG_MISS,None,5:33,4,Hornets,Knicks,79 - 90,1,12,2,Jumper
46,Jeremy Lamb,OFFENSIVE_REBOUND,None,5:27,4,Hornets,Knicks,79 - 90,1,N/A,N/A,N/A
47,Jeremy Lamb,FG_UNASSISTED,None,5:27,4,Hornets,Knicks,79 - 92,1, ,2,Jumper
48,Trey Burke,FG_MISS,None,5:12,4,Knicks,Hornets,79 - 92,0,26,3,Jumper
49,Marvin Williams,DEFENSIVE_REBOUND,None,5:09,4,Hornets,Knicks,79 - 92,1,N/A,N/A,N/A
50,Malik Monk,FG_MISS,None,4:59,4,Hornets,Knicks,79 - 92,1,24,3,Jumper
51,Noah Vonleh,DEFENSIVE_REBOUND,None,4:56,4,Knicks,Hornets,79 - 92,0,N/A,N/A,N/A
52,Trey Burke,FG_ASSISTED,Tim Hardaway,4:48,4,Knicks,Hornets,82 - 92,0,28,3,Jumper
53,Kemba Walker,FG_MISS,None,4:29,4,Hornets,Knicks,82 - 92,1,25,3,Jumper
54,Noah Vonleh,DEFENSIVE_REBOUND,None,4:26,4,Knicks,Hornets,82 - 92,0,N/A,N/A,N/A
55,Tim Hardaway,FG_UNASSISTED,None,4:23,4,Knicks,Hornets,84 - 92,0,0,2,Layup
56,Miles Bridges,Unknown,None,4:23,4,Hornets,Knicks,84 - 92,1,N/A,N/A,N/A
57,Team,Unknown,None,4:23,4,Hornets,Knicks,84 - 92,1,N/A,N/A,N/A
58,Nicolas Batum,SUBSTITUTION,Bridges Miles,4:23,4,Hornets,Knicks,84 - 92,1,N/A,N/A,N/A
59,Michael Kidd-Gilchrist,SUBSTITUTION,Lamb Jeremy,4:23,4,Hornets,Knicks,84 - 92,1,N/A,N/A,N/A
60,Marvin Williams,FG_ASSISTED,Malik Monk,4:00,4,Hornets,Knicks,84 - 94,1, ,2,Jumper
61,Kevin Knox,FG_MISS,None,3:41,4,Knicks,Hornets,84 - 94,0,20,2,Jumper
62,Team,OFFENSIVE_REBOUND,None,3:41,4,Knicks,Hornets,84 - 94,0,N/A,N/A,N/A
63,Michael Kidd-Gilchrist,FOUL_ON_FLOOR,None,3:41,4,Hornets,Knicks,84 - 94,1,N/A,N/A,N/A
64,Michael Kidd-Gilchrist,FOUL_ON_FLOOR,None,3:30,4,Hornets,Knicks,84 - 94,1,N/A,N/A,N/A
65,Miles Bridges,SUBSTITUTION,Kidd-Gilchrist Michael,3:30,4,Hornets,Knicks,84 - 94,1,N/A,N/A,N/A
66,Lance Thomas,FT,None,3:30,4,Knicks,Hornets,85 - 94,0,N/A,1,N/A
67,Lance Thomas,FT_MISS,None,3:30,4,Knicks,Hornets,85 - 94,0,N/A,1,N/A
68,Miles Bridges,DEFENSIVE_REBOUND,None,3:27,4,Hornets,Knicks,85 - 94,1,N/A,N/A,N/A
69,Miles Bridges,FG_ASSISTED,Nicolas Batum,3:08,4,Hornets,Knicks,85 - 96,1,0,2,Layup
70,Trey Burke,FG_MISS,None,2:54,4,Knicks,Hornets,85 - 96,0,11,2,Jumper
71,Marvin Williams,DEFENSIVE_REBOUND,None,2:51,4,Hornets,Knicks,85 - 96,1,N/A,N/A,N/A
72,Kemba Walker,FG_UNASSISTED,None,2:39,4,Hornets,Knicks,85 - 98,1,16,2,Jumper
73,Team,Unknown,None,2:39,4,Knicks,Hornets,85 - 98,0,N/A,N/A,N/A
74,Noah Vonleh,FG_ASSISTED,Lance Thomas,2:24,4,Knicks,Hornets,87 - 98,0,0,2,Dunk
