,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Karl-Anthony Towns,JUMP_BALL,None,12:00,1,Wizards,Timberwolves,0 - 0,1,N/A,N/A,N/A
1,Tomas Satoransky,TURNOVER,None,11:46,1,Wizards,Timberwolves,0 - 0,1,N/A,N/A,N/A
2,Jeff Teague,FG_MISS,None,11:42,1,Timberwolves,Wizards,0 - 0,0,-,2,Jumper
3,Jeff Green,DEFENSIVE_REBOUND,None,11:39,1,Wizards,Timberwolves,0 - 0,1,N/A,N/A,N/A
4,Tomas Satoransky,FG_UNASSISTED,None,11:33,1,Wizards,Timberwolves,0 - 2,1,0,2,Layup
5,Dario Saric,FG_ASSISTED,Karl-Anthony Towns,11:10,1,Timberwolves,Wizards,2 - 2,0,3,2,Jumper
6,Trevor Ariza,FG_UNASSISTED,None,10:57,1,Wizards,Timberwolves,2 - 5,1,26,3,Jumper
7,Andrew Wiggins,FG_MISS,None,10:38,1,Timberwolves,Wizards,2 - 5,0,7,2,Jumper
8,Bobby Portis,DEFENSIVE_REBOUND,None,10:35,1,Wizards,Timberwolves,2 - 5,1,N/A,N/A,N/A
9,Andrew Wiggins,FOUL_ON_FLOOR,None,10:25,1,Timberwolves,Wizards,2 - 5,0,N/A,N/A,N/A
10,Tomas Satoransky,FG_UNASSISTED,None,10:19,1,Wizards,Timberwolves,2 - 7,1,10,2,Jumper
11,Karl-Anthony Towns,FG_MISS,None,10:11,1,Timberwolves,Wizards,2 - 7,0,27,3,Jumper
12,Team,DEFENSIVE_REBOUND,None,10:09,1,Wizards,Timberwolves,2 - 7,1,N/A,N/A,N/A
13,Bobby Portis,FG_MISS,None,10:00,1,Wizards,Timberwolves,2 - 7,1,16,2,Jumper
14,Dario Saric,DEFENSIVE_REBOUND,None,9:57,1,Timberwolves,Wizards,2 - 7,0,N/A,N/A,N/A
15,Dario Saric,FG_UNASSISTED,None,9:42,1,Timberwolves,Wizards,4 - 7,0,-,2,Jumper
16,Jeff Green,FG_MISS,Josh Okogie,9:22,1,Timberwolves,Wizards,4 - 7,1,0,2,Layup
17,Andrew Wiggins,DEFENSIVE_REBOUND,None,9:19,1,Timberwolves,Wizards,4 - 7,0,N/A,N/A,N/A
