,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Jusuf Nurkic,JUMP_BALL,None,12:00,1,Trail Blazers,Spurs,0 - 0,0,N/A,N/A,N/A
1,Jusuf Nurkic,FG_MISS,None,11:37,1,Trail Blazers,Spurs,0 - 0,0,6,2,Jumper
2,Derrick White,DEFENSIVE_REBOUND,None,11:35,1,Spurs,Trail Blazers,0 - 0,1,N/A,N/A,N/A
3,Bryn Forbes,FG_MISS,None,11:27,1,Spurs,Trail Blazers,0 - 0,1,25,3,Jumper
4,Damian Lillard,DEFENSIVE_REBOUND,None,11:23,1,Trail Blazers,Spurs,0 - 0,0,N/A,N/A,N/A
5,Jusuf Nurkic,FG_MISS,None,11:11,1,Trail Blazers,Spurs,0 - 0,0,-,2,Jumper
6,Maurice Harkless,OFFENSIVE_REBOUND,None,11:08,1,Trail Blazers,Spurs,0 - 0,0,N/A,N/A,N/A
7,CJ McCollum,FG_MISS,None,11:06,1,Trail Blazers,Spurs,0 - 0,0,26,3,Jumper
8,LaMarcus Aldridge,DEFENSIVE_REBOUND,None,11:02,1,Spurs,Trail Blazers,0 - 0,1,N/A,N/A,N/A
9,LaMarcus Aldridge,FG_ASSISTED,DeMar DeRozan,10:38,1,Spurs,Trail Blazers,0 - 2,1,14,2,Jumper
10,Jusuf Nurkic,FG_ASSISTED,Al-Farouq Aminu,10:22,1,Trail Blazers,Spurs,2 - 2,0,20,2,Jumper
11,Damian Lillard,FOUL_ON_FLOOR,None,10:10,1,Trail Blazers,Spurs,2 - 2,0,N/A,N/A,N/A
12,DeMar DeRozan,FT,None,10:10,1,Spurs,Trail Blazers,2 - 3,1,N/A,1,N/A
13,DeMar DeRozan,FT,None,10:10,1,Spurs,Trail Blazers,2 - 4,1,N/A,1,N/A
14,Jakob Poeltl,FOUL_ON_FLOOR,None,9:52,1,Spurs,Trail Blazers,2 - 4,1,N/A,N/A,N/A
15,Jusuf Nurkic,FT,None,9:52,1,Trail Blazers,Spurs,3 - 4,0,N/A,1,N/A
16,Jusuf Nurkic,FT,None,9:52,1,Trail Blazers,Spurs,4 - 4,0,N/A,1,N/A
17,Jakob Poeltl,FG_MISS,None,9:28,1,Spurs,Trail Blazers,4 - 4,1,0,2,Layup
