,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Ante Zizic,JUMP_BALL,None,12:00,1,Cavaliers,Mavericks,0 - 0,0,N/A,N/A,N/A
1,Kevin Love,FG_ASSISTED,Cedi Osman,11:45,1,Cavaliers,Mavericks,2 - 0,0,6,3,Jumper
2,Dorian Finney-Smith,FG_MISS,None,11:19,1,Mavericks,Cavaliers,2 - 0,1,-,3,Jumper
3,Kevin Love,DEFENSIVE_REBOUND,None,11:16,1,Cavaliers,Mavericks,2 - 0,0,N/A,N/A,N/A
4,Kevin Love,FG_MISS,None,11:07,1,Cavaliers,Mavericks,2 - 0,0,26,3,Jumper
5,Dorian Finney-Smith,DEFENSIVE_REBOUND,None,11:04,1,Mavericks,Cavaliers,2 - 0,1,N/A,N/A,N/A
6,Jalen Brunson,FG_MISS,None,10:59,1,Mavericks,Cavaliers,2 - 0,1,15,3,Jumper
7,Kevin Love,DEFENSIVE_REBOUND,None,10:56,1,Cavaliers,Mavericks,2 - 0,0,N/A,N/A,N/A
8,Cedi Osman,FG_MISS,None,10:53,1,Cavaliers,Mavericks,2 - 0,0,25,3,Jumper
9,Tim Hardaway,DEFENSIVE_REBOUND,None,10:50,1,Mavericks,Cavaliers,2 - 0,1,N/A,N/A,N/A
10,Brandon Knight,FOUL_ON_FLOOR,None,10:43,1,Cavaliers,Mavericks,2 - 0,0,N/A,N/A,N/A
11,Tim Hardaway,FT,None,10:43,1,Mavericks,Cavaliers,2 - 1,1,N/A,1,N/A
12,Tim Hardaway,FT,None,10:43,1,Mavericks,Cavaliers,2 - 2,1,N/A,1,N/A
13,Kevin Love,FG_ASSISTED,Cedi Osman,10:26,1,Cavaliers,Mavericks,4 - 2,0,-,3,Jumper
14,Dorian Finney-Smith,FG_ASSISTED,Jalen Brunson,10:16,1,Mavericks,Cavaliers,4 - 5,1,26,3,Jumper
15,Ante Zizic,TURNOVER,Dirk Nowitzki,10:02,1,Cavaliers,Mavericks,4 - 5,0,N/A,N/A,N/A
16,Tim Hardaway,FG_MISS,None,9:56,1,Mavericks,Cavaliers,4 - 5,1,26,3,Jumper
17,Jalen Brunson,OFFENSIVE_REBOUND,None,9:53,1,Mavericks,Cavaliers,4 - 5,1,N/A,N/A,N/A
18,Dirk Nowitzki,FG_MISS,None,9:51,1,Mavericks,Cavaliers,4 - 5,1,26,3,Jumper
19,Team,DEFENSIVE_REBOUND,None,9:49,1,Cavaliers,Mavericks,4 - 5,0,N/A,N/A,N/A
20,Cedi Osman,FG_MISS,Dirk Nowitzki,9:34,1,Mavericks,Cavaliers,4 - 5,0,0,2,Layup
21,Team,OFFENSIVE_REBOUND,None,9:34,1,Cavaliers,Mavericks,4 - 5,0,N/A,N/A,N/A
22,Dwight Powell,FOUL_ON_FLOOR,None,9:29,1,Mavericks,Cavaliers,4 - 5,1,N/A,N/A,N/A
23,Collin Sexton,FT_MISS,None,9:29,1,Cavaliers,Mavericks,4 - 5,0,N/A,1,N/A
24,Team,OFFENSIVE_REBOUND,None,9:29,1,Cavaliers,Mavericks,4 - 5,0,N/A,N/A,N/A
25,Collin Sexton,FT,None,9:29,1,Cavaliers,Mavericks,5 - 5,0,N/A,1,N/A
26,Collin Sexton,FOUL_ON_FLOOR,None,9:18,1,Cavaliers,Mavericks,5 - 5,0,N/A,N/A,N/A
27,Tim Hardaway,FG_MISS,None,9:13,1,Mavericks,Cavaliers,5 - 5,1,8,3,Jumper
28,Team,DEFENSIVE_REBOUND,None,9:12,1,Cavaliers,Mavericks,5 - 5,0,N/A,N/A,N/A
29,Kevin Love,FG_MISS,None,8:56,1,Cavaliers,Mavericks,5 - 5,0,27,3,Jumper
30,Team,DEFENSIVE_REBOUND,None,8:53,1,Mavericks,Cavaliers,5 - 5,1,N/A,N/A,N/A
31,Jalen Brunson,FG_MISS,None,8:41,1,Mavericks,Cavaliers,5 - 5,1,-,3,Jumper
32,Jalen Brunson,OFFENSIVE_REBOUND,None,8:39,1,Mavericks,Cavaliers,5 - 5,1,N/A,N/A,N/A
33,Dirk Nowitzki,FG_ASSISTED,Jalen Brunson,8:38,1,Mavericks,Cavaliers,5 - 7,1,23,3,Jumper
34,Collin Sexton,FG_MISS,None,8:25,1,Cavaliers,Mavericks,5 - 7,0,25,3,Jumper
35,Dorian Finney-Smith,DEFENSIVE_REBOUND,None,8:22,1,Mavericks,Cavaliers,5 - 7,1,N/A,N/A,N/A
36,Dorian Finney-Smith,FG_MISS,None,8:11,1,Mavericks,Cavaliers,5 - 7,1,18,3,Jumper
37,Kevin Love,DEFENSIVE_REBOUND,None,8:08,1,Cavaliers,Mavericks,5 - 7,0,N/A,N/A,N/A
