,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Jarrett Allen,JUMP_BALL,None,12:00,1,Nets,Knicks,0 - 0,0,N/A,N/A,N/A
1,D'Angelo Russell,FG_ASSISTED,Joe Harris,11:34,1,Nets,Knicks,3 - 0,0,30,3,Jumper
2,Frank Ntilikina,FG_ASSISTED,Tim Hardaway,11:17,1,Knicks,Nets,3 - 3,1,25,3,Jumper
3,D'Angelo Russell,FG_ASSISTED,Jarrett Allen,11:03,1,Nets,Knicks,6 - 3,0,-,3,Jumper
4,Noah Vonleh,FG_MISS,Jarrett Allen,10:47,1,Nets,Knicks,6 - 3,1,0,2,Dunk
5,Jared Dudley,DEFENSIVE_REBOUND,None,10:43,1,Nets,Knicks,6 - 3,0,N/A,N/A,N/A
6,D'Angelo Russell,FG_MISS,None,10:38,1,Nets,Knicks,6 - 3,0,27,3,Jumper
7,Noah Vonleh,DEFENSIVE_REBOUND,None,10:38,1,Knicks,Nets,6 - 3,1,N/A,N/A,N/A
8,Tim Hardaway,FG_MISS,None,10:22,1,Knicks,Nets,6 - 3,1,0,2,Layup
9,Jared Dudley,DEFENSIVE_REBOUND,None,10:20,1,Nets,Knicks,6 - 3,0,N/A,N/A,N/A
10,D'Angelo Russell,FG_UNASSISTED,None,10:14,1,Nets,Knicks,8 - 3,0,0,2,Layup
11,Frank Ntilikina,FG_MISS,None,9:58,1,Knicks,Nets,8 - 3,1,0,2,Layup
12,Jarrett Allen,DEFENSIVE_REBOUND,None,9:56,1,Nets,Knicks,8 - 3,0,N/A,N/A,N/A
13,Jared Dudley,FG_MISS,None,9:45,1,Nets,Knicks,8 - 3,0,27,3,Jumper
14,Jarrett Allen,OFFENSIVE_REBOUND,None,9:43,1,Nets,Knicks,8 - 3,0,N/A,N/A,N/A
15,Joe Harris,FG_ASSISTED,Jared Dudley,9:38,1,Nets,Knicks,11 - 3,0,27,3,Jumper
16,Team,Unknown,None,9:37,1,Knicks,Nets,11 - 3,1,N/A,N/A,N/A
17,Tim Hardaway,FG_MISS,None,9:22,1,Knicks,Nets,11 - 3,1,0,2,Layup
18,Mitchell Robinson,OFFENSIVE_REBOUND,None,9:18,1,Knicks,Nets,11 - 3,1,N/A,N/A,N/A
19,Mitchell Robinson,FG_UNASSISTED,None,9:18,1,Knicks,Nets,11 - 5,1,0,2,Dunk
20,Joe Harris,FG_ASSISTED,Caris LeVert,9:12,1,Nets,Knicks,14 - 5,0,23,3,Jumper
21,Frank Ntilikina,FG_UNASSISTED,None,8:56,1,Knicks,Nets,14 - 8,1,25,3,Jumper
22,Frank Ntilikina,FOUL_ON_FLOOR,None,8:51,1,Knicks,Nets,14 - 8,1,N/A,N/A,N/A
23,Caris LeVert,FG_MISS,None,8:45,1,Nets,Knicks,14 - 8,0,27,3,Jumper
24,Noah Vonleh,DEFENSIVE_REBOUND,None,8:41,1,Knicks,Nets,14 - 8,1,N/A,N/A,N/A
25,Noah Vonleh,FG_MISS,Jared Dudley,8:37,1,Nets,Knicks,14 - 8,1,0,2,Layup
26,Jarrett Allen,DEFENSIVE_REBOUND,None,8:34,1,Nets,Knicks,14 - 8,0,N/A,N/A,N/A
27,Noah Vonleh,FOUL_ON_FLOOR,None,8:30,1,Knicks,Nets,14 - 8,1,N/A,N/A,N/A
28,Joe Harris,FG_MISS,None,8:24,1,Nets,Knicks,14 - 8,0,29,3,Jumper
29,Frank Ntilikina,DEFENSIVE_REBOUND,None,8:21,1,Knicks,Nets,14 - 8,1,N/A,N/A,N/A
30,Frank Ntilikina's,FG_MISS,Jarrett Allen,8:14,1,Nets,Knicks,14 - 8,1,-,2,Jumper
31,Team,OFFENSIVE_REBOUND,None,8:14,1,Knicks,Nets,14 - 8,1,N/A,N/A,N/A
32,Mitchell Robinson,FG_ASSISTED,Frank Ntilikina,8:05,1,Knicks,Nets,14 - 10,1, ,2,Jumper
33,D'Angelo Russell,FG_MISS,None,7:50,1,Nets,Knicks,14 - 10,0,27,3,Jumper
34,Noah Vonleh,DEFENSIVE_REBOUND,None,7:47,1,Knicks,Nets,14 - 10,1,N/A,N/A,N/A
35,Tim Hardaway,FG_MISS,None,7:42,1,Knicks,Nets,14 - 10,1,27,3,Jumper
