,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
93,Team,Unknown,None,1:30,4,Pacers,Mavericks,95 - 109,1,N/A,N/A,N/A
94,Aaron Holiday,SUBSTITUTION,Joseph Cory,1:30,4,Pacers,Mavericks,95 - 109,1,N/A,N/A,N/A
95,T.J. Leaf,SUBSTITUTION,Evans Tyreke,1:30,4,Pacers,Mavericks,95 - 109,1,N/A,N/A,N/A
96,Alize Johnson,SUBSTITUTION,Bogdanovic Bojan,1:30,4,Pacers,Mavericks,95 - 109,1,N/A,N/A,N/A
97,Aaron Holiday,FG_MISS,None,1:18,4,Pacers,Mavericks,95 - 109,1,1,3,Jumper
98,Salah Mejri,DEFENSIVE_REBOUND,None,1:15,4,Mavericks,Pacers,95 - 109,0,N/A,N/A,N/A
99,Dorian Finney-Smith,FG_MISS,None,1:01,4,Mavericks,Pacers,95 - 109,0,28,3,Jumper
100,T.J. Leaf,DEFENSIVE_REBOUND,None,59.2,4,Pacers,Mavericks,95 - 109,1,N/A,N/A,N/A
101,Kyle O'Quinn,FG_ASSISTED,T.J. Leaf,46.0,4,Pacers,Mavericks,95 - 111,1,6,3,Jumper
102,Dirk Nowitzki,FG_MISS,None,35.9,4,Mavericks,Pacers,95 - 111,0,27,3,Jumper
103,Dorian Finney-Smith,OFFENSIVE_REBOUND,None,32.2,4,Mavericks,Pacers,95 - 111,0,N/A,N/A,N/A
104,Dorian Finney-Smith,FG_UNASSISTED,None,31.1,4,Mavericks,Pacers,97 - 111,0,1,3,Jumper
105,Kyle O'Quinn,TURNOVER,Dorian Finney-Smith,17.1,4,Pacers,Mavericks,97 - 111,1,N/A,N/A,N/A
106,Dorian Finney-Smith,FG_UNASSISTED,None,13.9,4,Mavericks,Pacers,99 - 111,0,0,2,Dunk
107,End of,Unknown,None,0.0,4,Pacers,Mavericks,99 - 111,1,N/A,N/A,N/A
108,End of,Unknown,None,0.0,4,Pacers,Mavericks,99 - 111,1,N/A,N/A,N/A
