,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
99,Domantas Sabonis,OFFENSIVE_REBOUND,None,1:54,4,Pacers,76ers,104 - 99,0,N/A,N/A,N/A
100,Domantas Sabonis,FG_UNASSISTED,None,1:54,4,Pacers,76ers,106 - 99,0, ,2,Jumper
101,Ben Simmons,TURNOVER,None,1:51,4,76ers,Pacers,106 - 99,1,N/A,N/A,N/A
102,Ben Simmons,TURNOVER,None,1:51,4,76ers,Pacers,106 - 99,1,N/A,N/A,N/A
103,Thaddeus Young,FG_ASSISTED,Victor Oladipo,1:38,4,Pacers,76ers,108 - 99,0,0,2,Layup
104,Team,Unknown,None,1:38,4,76ers,Pacers,108 - 99,1,N/A,N/A,N/A
105,Joel Embiid,TURNOVER,None,1:25,4,76ers,Pacers,108 - 99,1,N/A,N/A,N/A
106,T.J. McConnell,SUBSTITUTION,Korkmaz Furkan,1:25,4,76ers,Pacers,108 - 99,1,N/A,N/A,N/A
107,Thaddeus Young,FG_ASSISTED,Victor Oladipo,1:03,4,Pacers,76ers,110 - 99,0,0,2,Layup
108,Team,Unknown,None,1:03,4,76ers,Pacers,110 - 99,1,N/A,N/A,N/A
109,Furkan Korkmaz,SUBSTITUTION,McConnell T.J.,1:03,4,76ers,Pacers,110 - 99,1,N/A,N/A,N/A
110,Ben Simmons,TURNOVER,Victor Oladipo,1:01,4,76ers,Pacers,110 - 99,1,N/A,N/A,N/A
111,Cory Joseph,FG_ASSISTED,Victor Oladipo,45.0,4,Pacers,76ers,113 - 99,0,28,3,Jumper
112,Ben Simmons,FG_ASSISTED,JJ Redick,39.5,4,76ers,Pacers,113 - 101,1,0,2,Dunk
113,Joel Embiid,FOUL_ON_FLOOR,None,38.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
114,Mike Muscala,SUBSTITUTION,Redick JJ,38.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
115,Landry Shamet,SUBSTITUTION,Embiid Joel,38.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
116,T.J. McConnell,SUBSTITUTION,Simmons Ben,38.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
117,Victor Oladipo,FG_MISS,Wilson Chandler,19.3,4,76ers,Pacers,113 - 101,0,2,2,Jumper
118,Landry Shamet,DEFENSIVE_REBOUND,None,15.7,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
119,Mike Muscala,FG_MISS,None,12.9,4,76ers,Pacers,113 - 101,1,29,3,Jumper
120,Bojan Bogdanovic,DEFENSIVE_REBOUND,None,9.2,4,Pacers,76ers,113 - 101,0,N/A,N/A,N/A
121,End of,Unknown,None,0.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
122,End of,Unknown,None,0.0,4,76ers,Pacers,113 - 101,1,N/A,N/A,N/A
