,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
61,Goran Dragic,SUBSTITUTION,Olynyk Kelly,5:04,4,Heat,76ers,111 - 104,1,N/A,N/A,N/A
62,Wayne Ellington,FG_UNASSISTED,None,4:49,4,Heat,76ers,111 - 107,1,25,3,Jumper
63,Ben Simmons,FG_ASSISTED,Mike Muscala,4:38,4,76ers,Heat,113 - 107,0,0,2,Dunk
64,Wayne Ellington,FG_MISS,None,4:22,4,Heat,76ers,113 - 107,1,25,3,Jumper
65,Tyler Johnson,OFFENSIVE_REBOUND,None,4:20,4,Heat,76ers,113 - 107,1,N/A,N/A,N/A
66,Tyler Johnson,FG_MISS,None,4:11,4,Heat,76ers,113 - 107,1,25,3,Jumper
67,Ben Simmons,DEFENSIVE_REBOUND,None,4:08,4,76ers,Heat,113 - 107,0,N/A,N/A,N/A
68,JJ Redick,FG_MISS,None,3:56,4,76ers,Heat,113 - 107,0,26,3,Jumper
69,Hassan Whiteside,DEFENSIVE_REBOUND,None,3:53,4,Heat,76ers,113 - 107,1,N/A,N/A,N/A
70,Wayne Ellington,FG_MISS,None,3:43,4,Heat,76ers,113 - 107,1,23,3,Jumper
71,Joel Embiid,DEFENSIVE_REBOUND,None,3:39,4,76ers,Heat,113 - 107,0,N/A,N/A,N/A
72,Team,Unknown,None,3:35,4,76ers,Heat,113 - 107,0,N/A,N/A,N/A
73,Kelly Olynyk,SUBSTITUTION,Johnson Tyler,3:35,4,Heat,76ers,113 - 107,1,N/A,N/A,N/A
74,Wilson Chandler,SUBSTITUTION,Muscala Mike,3:35,4,76ers,Heat,113 - 107,0,N/A,N/A,N/A
75,Ben Simmons,FG_ASSISTED,JJ Redick,3:18,4,76ers,Heat,115 - 107,0,0,2,Dunk
76,JJ Redick,FOUL_ON_FLOOR,None,3:00,4,76ers,Heat,115 - 107,0,N/A,N/A,N/A
77,Ben Simmons,Unknown,None,2:56,4,76ers,Heat,115 - 107,0,N/A,N/A,N/A
78,Kelly Olynyk,TURNOVER,None,2:50,4,Heat,76ers,115 - 107,1,N/A,N/A,N/A
79,Wayne Ellington,FOUL_ON_FLOOR,None,2:44,4,Heat,76ers,115 - 107,1,N/A,N/A,N/A
80,Rodney McGruder,SUBSTITUTION,Ellington Wayne,2:44,4,Heat,76ers,115 - 107,1,N/A,N/A,N/A
81,JJ Redick,FG_MISS,None,2:29,4,76ers,Heat,115 - 107,0,22,3,Jumper
82,Goran Dragic,DEFENSIVE_REBOUND,None,2:27,4,Heat,76ers,115 - 107,1,N/A,N/A,N/A
83,Goran Dragic,FG_MISS,None,2:17,4,Heat,76ers,115 - 107,1,15,3,Jumper
84,Joel Embiid,DEFENSIVE_REBOUND,None,2:14,4,76ers,Heat,115 - 107,0,N/A,N/A,N/A
85,Joel Embiid,FG_UNASSISTED,None,1:59,4,76ers,Heat,118 - 107,0,26,3,Jumper
86,Rodney McGruder,TURNOVER,Ben Simmons,1:49,4,Heat,76ers,118 - 107,1,N/A,N/A,N/A
87,Ben Simmons,FG_UNASSISTED,None,1:30,4,76ers,Heat,120 - 107,0,0,2,Dunk
88,Team,Unknown,None,1:30,4,Heat,76ers,120 - 107,1,N/A,N/A,N/A
89,Wayne Ellington,SUBSTITUTION,Olynyk Kelly,1:30,4,Heat,76ers,120 - 107,1,N/A,N/A,N/A
90,Mike Muscala,SUBSTITUTION,Embiid Joel,1:30,4,76ers,Heat,120 - 107,0,N/A,N/A,N/A
91,Mike Muscala,FOUL_ON_FLOOR,None,1:22,4,76ers,Heat,120 - 107,0,N/A,N/A,N/A
92,Hassan Whiteside,FT,None,1:22,4,Heat,76ers,120 - 108,1,N/A,1,N/A
93,Joel Embiid,SUBSTITUTION,Muscala Mike,1:22,4,76ers,Heat,120 - 108,0,N/A,N/A,N/A
94,Hassan Whiteside,FT_MISS,None,1:22,4,Heat,76ers,120 - 108,1,N/A,1,N/A
95,Team,DEFENSIVE_REBOUND,None,1:19,4,76ers,Heat,120 - 108,0,N/A,N/A,N/A
96,Josh Richardson,FOUL_ON_FLOOR,None,1:19,4,Heat,76ers,120 - 108,1,N/A,N/A,N/A
97,Bam Adebayo,SUBSTITUTION,Whiteside Hassan,1:19,4,Heat,76ers,120 - 108,1,N/A,N/A,N/A
98,Team,Unknown,None,1:16,4,76ers,Heat,120 - 108,0,N/A,N/A,N/A
99,Goran Dragic,FOUL_ON_FLOOR,None,1:15,4,Heat,76ers,120 - 108,1,N/A,N/A,N/A
100,Furkan Korkmaz,FT,None,1:15,4,76ers,Heat,121 - 108,0,N/A,1,N/A
101,Kelly Olynyk,SUBSTITUTION,Adebayo Bam,1:15,4,Heat,76ers,121 - 108,1,N/A,N/A,N/A
102,Mike Muscala,SUBSTITUTION,Embiid Joel,1:15,4,76ers,Heat,121 - 108,0,N/A,N/A,N/A
103,T.J. McConnell,SUBSTITUTION,Chandler Wilson,1:15,4,76ers,Heat,121 - 108,0,N/A,N/A,N/A
104,Furkan Korkmaz,FT,None,1:15,4,76ers,Heat,122 - 108,0,N/A,1,N/A
105,Kelly Olynyk,FG_UNASSISTED,None,1:07,4,Heat,76ers,122 - 110,1,0,2,Dunk
106,Furkan Korkmaz,FG_UNASSISTED,None,50.3,4,76ers,Heat,124 - 110,0,0,2,Layup
107,Goran Dragic,FG_UNASSISTED,None,43.3,4,Heat,76ers,124 - 112,1,0,2,Layup
108,Ben Simmons,TURNOVER,Goran Dragic,33.3,4,76ers,Heat,124 - 112,0,N/A,N/A,N/A
109,Goran Dragic,FG_UNASSISTED,None,31.4,4,Heat,76ers,124 - 114,1,1,3,Jumper
110,shot clock,TURNOVER,None,7.4,4,76ers,Heat,124 - 114,0,N/A,N/A,N/A
111,End of,Unknown,None,0.0,4,Heat,76ers,124 - 114,1,N/A,N/A,N/A
112,End of,Unknown,None,0.0,4,Heat,76ers,124 - 114,1,N/A,N/A,N/A
