,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Rudy Gobert,JUMP_BALL,None,12:00,1,Grizzlies,Jazz,0 - 0,1,N/A,N/A,N/A
1,Jonas Valanciunas,FG_MISS,Rudy Gobert,11:42,1,Jazz,Grizzlies,0 - 0,1,4,3,Jumper
2,Royce O'Neale,DEFENSIVE_REBOUND,None,11:38,1,Jazz,Grizzlies,0 - 0,0,N/A,N/A,N/A
3,Justin Holiday,FOUL_ON_FLOOR,None,11:35,1,Grizzlies,Jazz,0 - 0,1,N/A,N/A,N/A
4,Joe Ingles,FG_MISS,Justin Holiday,11:29,1,Grizzlies,Jazz,0 - 0,0,25,3,Jumper
5,Joakim Noah,DEFENSIVE_REBOUND,None,11:26,1,Grizzlies,Jazz,0 - 0,1,N/A,N/A,N/A
6,Justin Holiday,FG_ASSISTED,Mike Conley,11:23,1,Grizzlies,Jazz,0 - 3,1,-,3,Jumper
7,Joe Ingles,FG_MISS,None,10:55,1,Jazz,Grizzlies,0 - 3,0,25,3,Jumper
8,Jonas Valanciunas,DEFENSIVE_REBOUND,None,10:52,1,Grizzlies,Jazz,0 - 3,1,N/A,N/A,N/A
9,Justin Holiday,TURNOVER,None,10:40,1,Grizzlies,Jazz,0 - 3,1,N/A,N/A,N/A
10,Derrick Favors,FG_ASSISTED,Donovan Mitchell,10:23,1,Jazz,Grizzlies,3 - 3,0,-,3,Jumper
11,Justin Holiday,FG_ASSISTED,Joakim Noah,10:08,1,Grizzlies,Jazz,3 - 5,1,0,2,Dunk
12,Donovan Mitchell,FG_ASSISTED,Joe Ingles,9:51,1,Jazz,Grizzlies,6 - 5,0,26,3,Jumper
13,Mike Conley,FG_MISS,None,9:38,1,Grizzlies,Jazz,6 - 5,1,25,3,Jumper
14,Donovan Mitchell,DEFENSIVE_REBOUND,None,9:35,1,Jazz,Grizzlies,6 - 5,0,N/A,N/A,N/A
15,Royce O'Neale,FG_MISS,None,9:23,1,Jazz,Grizzlies,6 - 5,0,23,3,Jumper
16,Joakim Noah,DEFENSIVE_REBOUND,None,9:21,1,Grizzlies,Jazz,6 - 5,1,N/A,N/A,N/A
17,Avery Bradley,FG_ASSISTED,Joakim Noah,9:06,1,Grizzlies,Jazz,6 - 8,1,26,3,Jumper
18,Donovan Mitchell,FG_UNASSISTED,None,8:50,1,Jazz,Grizzlies,9 - 8,0,26,3,Jumper
19,Avery Bradley,TURNOVER,Derrick Favors,8:32,1,Grizzlies,Jazz,9 - 8,1,N/A,N/A,N/A
20,Royce O'Neale,FG_MISS,None,8:25,1,Jazz,Grizzlies,9 - 8,0,23,3,Jumper
21,Team,DEFENSIVE_REBOUND,None,8:22,1,Grizzlies,Jazz,9 - 8,1,N/A,N/A,N/A
22,Jonas Valanciunas,FG_ASSISTED,Joakim Noah,8:04,1,Grizzlies,Jazz,9 - 10,1,21,3,Jumper
23,Joakim Noah,FOUL_ON_FLOOR,None,7:52,1,Grizzlies,Jazz,9 - 10,1,N/A,N/A,N/A
24,Rudy Gobert,FT_MISS,None,7:52,1,Jazz,Grizzlies,9 - 10,0,N/A,1,N/A
25,Team,OFFENSIVE_REBOUND,None,7:52,1,Jazz,Grizzlies,9 - 10,0,N/A,N/A,N/A
26,Rudy Gobert,FT,None,7:52,1,Jazz,Grizzlies,10 - 10,0,N/A,1,N/A
27,Mike Conley,FG_ASSISTED,Jonas Valanciunas,7:36,1,Grizzlies,Jazz,10 - 13,1,26,3,Jumper
28,Derrick Favors,FG_MISS,None,7:22,1,Jazz,Grizzlies,10 - 13,0, ,3,Jumper
29,Joakim Noah,DEFENSIVE_REBOUND,None,7:19,1,Grizzlies,Jazz,10 - 13,1,N/A,N/A,N/A
30,Royce O'Neale,FOUL_ON_FLOOR,None,7:14,1,Jazz,Grizzlies,10 - 13,0,N/A,N/A,N/A
31,Bruno Caboclo,SUBSTITUTION,Noah Joakim,7:14,1,Grizzlies,Jazz,10 - 13,1,N/A,N/A,N/A
32,Kyle Korver,SUBSTITUTION,Ingles Joe,7:14,1,Jazz,Grizzlies,10 - 13,0,N/A,N/A,N/A
33,Jae Crowder,SUBSTITUTION,Favors Derrick,7:14,1,Jazz,Grizzlies,10 - 13,0,N/A,N/A,N/A
34,Jonas Valanciunas,FG_MISS,None,6:58,1,Grizzlies,Jazz,10 - 13,1, ,3,Jumper
35,Jae Crowder,DEFENSIVE_REBOUND,None,6:55,1,Jazz,Grizzlies,10 - 13,0,N/A,N/A,N/A
36,Jae Crowder,FG_MISS,None,6:38,1,Jazz,Grizzlies,10 - 13,0,26,3,Jumper
37,Justin Holiday,DEFENSIVE_REBOUND,None,6:35,1,Grizzlies,Jazz,10 - 13,1,N/A,N/A,N/A
38,Rudy Gobert,FOUL_ON_FLOOR,None,6:26,1,Jazz,Grizzlies,10 - 13,0,N/A,N/A,N/A
39,Team,Unknown,None,6:26,1,Grizzlies,Jazz,10 - 13,1,N/A,N/A,N/A
40,Jonas Valanciunas,FG_UNASSISTED,None,6:14,1,Grizzlies,Jazz,10 - 15,1,0,2,Dunk
41,Justin Holiday,FOUL_ON_FLOOR,None,5:52,1,Grizzlies,Jazz,10 - 15,1,N/A,N/A,N/A
42,Donovan Mitchell,FT_MISS,None,5:52,1,Jazz,Grizzlies,10 - 15,0,N/A,1,N/A
43,Team,OFFENSIVE_REBOUND,None,5:52,1,Jazz,Grizzlies,10 - 15,0,N/A,N/A,N/A
44,Delon Wright,SUBSTITUTION,Holiday Justin,5:52,1,Grizzlies,Jazz,10 - 15,1,N/A,N/A,N/A
45,Donovan Mitchell,FT,None,5:52,1,Jazz,Grizzlies,11 - 15,0,N/A,1,N/A
46,Mike Conley,TURNOVER,Jae Crowder,5:38,1,Grizzlies,Jazz,11 - 15,1,N/A,N/A,N/A
47,Kyle Korver,FG_MISS,None,5:34,1,Jazz,Grizzlies,11 - 15,0,26,3,Jumper
48,Bruno Caboclo,DEFENSIVE_REBOUND,None,5:31,1,Grizzlies,Jazz,11 - 15,1,N/A,N/A,N/A
49,Mike Conley,FG_MISS,None,5:26,1,Grizzlies,Jazz,11 - 15,1, ,3,Jumper
50,Jae Crowder,DEFENSIVE_REBOUND,None,5:22,1,Jazz,Grizzlies,11 - 15,0,N/A,N/A,N/A
51,Bruno Caboclo,FOUL_ON_FLOOR,None,5:20,1,Grizzlies,Jazz,11 - 15,1,N/A,N/A,N/A
52,Chandler Parsons,SUBSTITUTION,Conley Mike,5:20,1,Grizzlies,Jazz,11 - 15,1,N/A,N/A,N/A
53,Kyle Korver,FG_ASSISTED,Rudy Gobert,5:10,1,Jazz,Grizzlies,14 - 15,0,26,3,Jumper
54,Avery Bradley,FG_ASSISTED,Jonas Valanciunas,4:56,1,Grizzlies,Jazz,14 - 17,1,7,3,Jumper
55,Rudy Gobert,FG_MISS,None,4:46,1,Jazz,Grizzlies,14 - 17,0,17,3,Jumper
56,Bruno Caboclo,DEFENSIVE_REBOUND,None,4:42,1,Grizzlies,Jazz,14 - 17,1,N/A,N/A,N/A
57,Royce O'Neale,FOUL_ON_FLOOR,None,4:36,1,Jazz,Grizzlies,14 - 17,0,N/A,N/A,N/A
58,Delon Wright,FT_MISS,None,4:36,1,Grizzlies,Jazz,14 - 17,1,N/A,1,N/A
59,Team,OFFENSIVE_REBOUND,None,4:36,1,Grizzlies,Jazz,14 - 17,1,N/A,N/A,N/A
60,Delon Wright,FT,None,4:36,1,Grizzlies,Jazz,14 - 18,1,N/A,1,N/A
61,Donovan Mitchell,FG_MISS,None,4:26,1,Jazz,Grizzlies,14 - 18,0,14,3,Jumper
62,Bruno Caboclo,DEFENSIVE_REBOUND,None,4:23,1,Grizzlies,Jazz,14 - 18,1,N/A,N/A,N/A
63,Jonas Valanciunas,TURNOVER,Kyle Korver,4:14,1,Grizzlies,Jazz,14 - 18,1,N/A,N/A,N/A
64,Donovan Mitchell,FG_MISS,None,4:07,1,Jazz,Grizzlies,14 - 18,0, ,3,Jumper
65,Jonas Valanciunas,DEFENSIVE_REBOUND,None,4:04,1,Grizzlies,Jazz,14 - 18,1,N/A,N/A,N/A
66,Joakim Noah,SUBSTITUTION,Valanciunas Jonas,3:49,1,Grizzlies,Jazz,14 - 18,1,N/A,N/A,N/A
67,Grayson Allen,SUBSTITUTION,O'Neale Royce,3:49,1,Jazz,Grizzlies,14 - 18,0,N/A,N/A,N/A
68,Jae Crowder,FOUL_ON_FLOOR,None,3:49,1,Jazz,Grizzlies,14 - 18,0,N/A,N/A,N/A
69,shot clock,TURNOVER,None,3:35,1,Grizzlies,Jazz,14 - 18,1,N/A,N/A,N/A
70,Rudy Gobert,FG_ASSISTED,Kyle Korver,3:24,1,Jazz,Grizzlies,16 - 18,0,0,2,Dunk
71,Bruno Caboclo,FOUL_ON_FLOOR,None,3:24,1,Grizzlies,Jazz,16 - 18,1,N/A,N/A,N/A
72,Ivan Rabb,SUBSTITUTION,Caboclo Bruno,3:24,1,Grizzlies,Jazz,16 - 18,1,N/A,N/A,N/A
73,Rudy Gobert,FT_MISS,None,3:24,1,Jazz,Grizzlies,16 - 18,0,N/A,1,N/A
74,Joakim Noah,DEFENSIVE_REBOUND,None,3:22,1,Grizzlies,Jazz,16 - 18,1,N/A,N/A,N/A
75,Avery Bradley,TURNOVER,Rudy Gobert,3:08,1,Grizzlies,Jazz,16 - 18,1,N/A,N/A,N/A
76,Rudy Gobert,FG_UNASSISTED,None,3:05,1,Jazz,Grizzlies,18 - 18,0,0,2,Dunk
77,Team,Unknown,None,3:05,1,Grizzlies,Jazz,18 - 18,1,N/A,N/A,N/A
78,Delon Wright,FG_MISS,None,2:45,1,Grizzlies,Jazz,18 - 18,1,7,3,Jumper
79,Ivan Rabb,OFFENSIVE_REBOUND,None,2:42,1,Grizzlies,Jazz,18 - 18,1,N/A,N/A,N/A
80,Chandler Parsons,FG_MISS,Rudy Gobert,2:32,1,Jazz,Grizzlies,18 - 18,1,0,2,Layup
