,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
9,Eric Gordon,SUBSTITUTION,Green Gerald,10:15,4,Rockets,Thunder,96 - 85,0,N/A,N/A,N/A
10,Austin Rivers,FG_MISS,None,10:02,4,Rockets,Thunder,96 - 85,0, ,3,Jumper
11,Team,DEFENSIVE_REBOUND,None,9:59,4,Thunder,Rockets,96 - 85,1,N/A,N/A,N/A
12,Paul George,FG_MISS,None,9:44,4,Thunder,Rockets,96 - 85,1,26,3,Jumper
13,Chris Paul,DEFENSIVE_REBOUND,None,9:40,4,Rockets,Thunder,96 - 85,0,N/A,N/A,N/A
14,Chris Paul,FG_UNASSISTED,None,9:26,4,Rockets,Thunder,99 - 85,0,26,3,Jumper
15,Nerlens Noel,FG_UNASSISTED,None,9:07,4,Thunder,Rockets,99 - 87,1,9,3,Jumper
16,Clint Capela,TURNOVER,None,8:47,4,Rockets,Thunder,99 - 87,0,N/A,N/A,N/A
17,Russell Westbrook,SUBSTITUTION,Felton Raymond,8:47,4,Thunder,Rockets,99 - 87,1,N/A,N/A,N/A
18,Paul George,FG_UNASSISTED,None,8:33,4,Thunder,Rockets,99 - 89,1,0,2,Layup
19,Danuel House,FOUL_ON_FLOOR,None,8:33,4,Rockets,Thunder,99 - 89,0,N/A,N/A,N/A
20,James Harden,SUBSTITUTION,Rivers Austin,8:33,4,Rockets,Thunder,99 - 89,0,N/A,N/A,N/A
21,Paul George,FT,None,8:33,4,Thunder,Rockets,99 - 90,1,N/A,1,N/A
22,Chris Paul,FG_MISS,None,8:17,4,Rockets,Thunder,99 - 90,0,26,3,Jumper
23,Markieff Morris,DEFENSIVE_REBOUND,None,8:13,4,Thunder,Rockets,99 - 90,1,N/A,N/A,N/A
24,Russell Westbrook,FG_UNASSISTED,None,8:04,4,Thunder,Rockets,99 - 93,1,26,3,Jumper
25,Danuel House,FG_MISS,None,7:47,4,Rockets,Thunder,99 - 93,0,25,3,Jumper
26,Paul George,DEFENSIVE_REBOUND,None,7:44,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
27,Russell Westbrook,FG_MISS,None,7:30,4,Thunder,Rockets,99 - 93,1,31,3,Jumper
28,James Harden,DEFENSIVE_REBOUND,None,7:27,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
29,Eric Gordon's,FG_MISS,Nerlens Noel,7:16,4,Thunder,Rockets,99 - 93,0,0,2,Layup
30,Markieff Morris,DEFENSIVE_REBOUND,None,7:13,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
31,Chris Paul,FOUL_ON_FLOOR,None,7:13,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
32,Steven Adams,SUBSTITUTION,Noel Nerlens,7:13,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
33,Jerami Grant,SUBSTITUTION,Morris Markieff,7:13,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
34,PJ Tucker,SUBSTITUTION,House Danuel,7:13,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
35,Austin Rivers,SUBSTITUTION,Paul Chris,7:13,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
36,Dennis Schroder,FG_MISS,None,6:59,4,Thunder,Rockets,99 - 93,1,0,2,Layup
37,Steven Adams,OFFENSIVE_REBOUND,None,6:54,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
38,Steven Adams,FG_MISS,None,6:53,4,Thunder,Rockets,99 - 93,1, ,3,Jumper
39,Clint Capela,DEFENSIVE_REBOUND,None,6:51,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
